date,country,city,latitude,longitude,region_txt,target_type,target_type2,attack_type,attack_type2,perpetrator2,perpetrator,num_of_attackers,injuries,fatalities,casualties
,Cambodia,Phnom Penh,11.558831,104.917445,Southeast Asia,Government (Diplomatic),,Assassination,,,Unknown,,0.0,0.0,0.0
,Cambodia,Phnom Penh,11.558831,104.917445,Southeast Asia,Government (Diplomatic),,Assassination,,,Unknown,,10.0,2.0,12.0
,Ethiopia,Unknown,,,Sub-Saharan Africa,Government (Diplomatic),,Hostage Taking (Kidnapping),,,Eritrean Liberation Front,,0.0,0.0,0.0
,Greece,Athens,37.99749,23.762728,Western Europe,Government (Diplomatic),,Bombing/Explosion,,,Unknown,,,,
,Iran,Bandar Anzali,37.474249,49.458725,Middle East & North Africa,Military,,Unknown,,,Unknown,,0.0,3.0,3.0
,Iran,Isfahan,32.65246,51.67462,Middle East & North Africa,Military,,Bombing/Explosion,,,Unknown,,,,
,Iran,Tehran,35.724533,51.40519,Middle East & North Africa,Government (Diplomatic),,Hostage Taking (Kidnapping),,,Unknown,4.0,0.0,0.0,0.0
,Iran,Tehran,35.724533,51.40519,Middle East & North Africa,Business,,Armed Assault,,,Siah KAL,,,,
,Iran,Tehran,35.724533,51.40519,Middle East & North Africa,Police,,Armed Assault,,,Unknown,,,,
,Japan,Fukouka,33.580412,130.396361,East Asia,Government (Diplomatic),,Facility/Infrastructure Attack,,,Unknown,,,,
,Jordan,Amman,31.950001,35.933331,Middle East & North Africa,Military,,Hostage Taking (Kidnapping),,,Palestinians,,0.0,0.0,0.0
,Mexico,Mexico city,19.371887,-99.086624,North America,Government (Diplomatic),,Hostage Taking (Kidnapping),,,23rd of September Communist League,7.0,0.0,0.0,0.0
,Netherlands,Amsterdam,52.370216,4.895168,Western Europe,Government (Diplomatic),,Armed Assault,,,South Moluccans,,,,
,Philippines,Angeles,15.153002,120.591942,Southeast Asia,Business,,Bombing/Explosion,,,Unknown,,,,
,Philippines,Manila,14.596051,120.978666,Southeast Asia,Government (Diplomatic),,Bombing/Explosion,,,Unknown,,0.0,0.0,0.0
,Philippines,Tarlas,,,Southeast Asia,Military,,Bombing/Explosion,,,New People's Army (NPA),,0.0,0.0,0.0
,Philippines,Unknown,15.478598,120.599741,Southeast Asia,Journalists & Media,,Assassination,,,Unknown,,0.0,1.0,1.0
,Spain,Bilbao,43.258434,-2.921819,Western Europe,Business,,Bombing/Explosion,,,Revolutionary Communist League (LCR) (Spain),,0.0,0.0,0.0
,United States,Boston,42.290156,-71.04897,North America,Religious Figures/Institutions,,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,0.0,0.0,0.0
,United States,Boston,42.290156,-71.04897,North America,Religious Figures/Institutions,,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,0.0,0.0,0.0
,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Secret Cuban Government,,0.0,0.0,0.0
,United States,Rio Piedras,18.386932,-66.061127,North America,Business,,Bombing/Explosion,,,Puerto Rican Nationalists,-99.0,1.0,0.0,1.0
,United States,Wauwatosa,43.074701,-88.008394,North America,Business,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
,Uruguay,Montevideo,-34.891151,-56.187214,South America,Business,,Facility/Infrastructure Attack,,,Tupamaros (Uruguay),4.0,0.0,2.0,2.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
